depth,latitude,longitude,time,thetao
0.494025,20,107,6/01/2008,21.101078
0.494025,20,107,7/01/2008,21.15601
0.494025,20,107,8/01/2008,21.295908
0.494025,20,107,9/01/2008,21.400646
0.494025,20,107,10/01/2008,21.331797
0.494025,20,107,11/01/2008,21.37135
0.494025,20,107,12/01/2008,21.54201
0.494025,20,107,13/01/2008,21.366222
0.494025,20,107,14/01/2008,21.228523
0.494025,20,107,15/01/2008,21.122318
0.494025,20,107,16/01/2008,20.942137
0.494025,20,107,17/01/2008,20.764153
0.494025,20,107,18/01/2008,20.723137
0.494025,20,107,19/01/2008,20.895992
0.494025,20,107,20/01/2008,21.155277
0.494025,20,107,21/01/2008,21.12598
0.494025,20,107,22/01/2008,21.192633
0.494025,20,107,23/01/2008,21.192633
0.494025,20,107,24/01/2008,20.988281
0.494025,20,107,25/01/2008,20.648426
0.494025,20,107,26/01/2008,20.482162
0.494025,20,107,27/01/2008,20.41258
0.494025,20,107,28/01/2008,20.367168
0.494025,20,107,29/01/2008,20.323221
0.494025,20,107,30/01/2008,20.241188
0.494025,20,107,31/01/2008,20.009003
0.494025,20,107,1/02/2008,19.705038
0.494025,20,107,2/02/2008,19.464796
0.494025,20,107,3/02/2008,19.346142
0.494025,20,107,4/02/2008,19.3249
0.494025,20,107,5/02/2008,19.350536
0.494025,20,107,6/02/2008,19.339548
0.494025,20,107,7/02/2008,19.283884
0.494025,20,107,8/02/2008,19.175482
0.494025,20,107,9/02/2008,19.07953
0.494025,20,107,10/02/2008,19.063417
0.494025,20,107,11/02/2008,19.080996
0.494025,20,107,12/02/2008,19.04291
0.494025,20,107,13/02/2008,18.980652
0.494025,20,107,14/02/2008,18.878841
0.494025,20,107,15/02/2008,18.809992
0.494025,20,107,16/02/2008,18.853207
0.494025,20,107,17/02/2008,18.87225
0.494025,20,107,18/02/2008,18.8847
0.494025,20,107,19/02/2008,18.882504
0.494025,20,107,20/02/2008,18.864193
0.494025,20,107,21/02/2008,18.856136
0.494025,20,107,22/02/2008,18.905941
0.494025,20,107,23/02/2008,19.029724
0.494025,20,107,24/02/2008,19.147648
0.494025,20,107,25/02/2008,19.15717
0.494025,20,107,26/02/2008,18.87518
0.494025,20,107,27/02/2008,18.656178
0.494025,20,107,28/02/2008,18.45622
0.494025,20,107,29/02/2008,18.36613
0.494025,20,107,1/03/2008,18.380047
0.494025,20,107,2/03/2008,18.39323
0.494025,20,107,3/03/2008,18.43205
0.494025,20,107,4/03/2008,18.448164
0.494025,20,107,5/03/2008,18.520676
0.494025,20,107,6/03/2008,18.652515
0.494025,20,107,7/03/2008,18.74041
0.494025,20,107,8/03/2008,18.774101
0.494025,20,107,9/03/2008,18.889095
0.494025,20,107,10/03/2008,19.08539
0.494025,20,107,11/03/2008,19.312449
0.494025,20,107,12/03/2008,19.554888
0.494025,20,107,13/03/2008,19.623005
